id,city,state,country
53cd5df0-dde8-4937-aca6-839e93d55460,Bhopal,Madhya Pradesh,India
14a029c9-7561-454f-9f21-740468ab2fae,Hohhot,Inner Mongolia,China
c8977f58-8bd4-4c66-8dbe-93cb2b68a737,Pittsburgh,Pennsylvania,United States
1becd9cd-36b0-4273-83f9-8d579c544af2,Luoyang,Henan,China
8ad16236-0e7a-4014-9153-955622b88893,Santos,São Paulo,Brazil
789d3183-afba-4265-8c73-f6eaa14b4369,Jingling,Hubei,China
a098ff08-6274-41d7-a201-551076178b1f,Warsaw,Mazowieckie,Poland
feac00ee-2403-4e0f-b01e-fb1bbeb62195,Rabat,Rabat-Salé-Kénitra,Morocco
0121d249-1437-4b3f-a574-263680ff6396,Vitoria,Espírito Santo,Brazil
b539c86e-a918-4d59-944d-b620e366a154,Quito,Pichincha,Ecuador
ddb4e53f-2f83-48ab-9502-9bb11fbfb58f,Antananarivo,Antananarivo,Madagascar
118a32b2-4b59-477a-813a-5600baf7de1c,Coimbatore,Tamil Nādu ,India
26d69801-6291-494c-a09b-c9044d14f7a6,Daqing,Heilongjiang,China
73e164df-8197-4030-992a-f5dfdd1844e7,Lu'an,Anhui,China
47390055-b923-43b7-b04d-c2487744bfef,Sanzhou,Chongqing,China
3916f628-8efd-4e5d-8ea3-ab84ffe3bac3,Budapest,Budapest,Hungary
7b930b01-0b9a-4b24-bc17-9a9c563378a6,Turin,Piedmont,Italy
651ddd37-dff5-4c69-a64b-3279e2ea7666,Suzhou,Jiangsu,China
ad7c7611-e591-46a4-9266-d52f96f90575,Ludhiana,Punjab,India
0e4f7652-e8a4-475b-ac56-a3aefb2891c0,Cincinnati,Ohio,United States
5f9a720b-c48b-4b26-a744-5fe7b0af419a,Kumasi,Ashanti,Ghana
f4a0e4ba-9429-4c28-9c2d-d81c7660ed20,Manhattan,New York,United States
4639995d-c5ad-4aff-b1b5-8e929b40ec6e,Qiqihar,Heilongjiang,China
2a4863b8-46a7-4753-88ef-4939d16ab903,Anshan,Liaoning,China
b3ce97c2-e62d-49ab-812b-fc238363101b,Austin,Texas,United States
cc8f8400-7ce5-4ce0-b7a8-1a3b09557f2f,Zhongli,Taoyuan,Taiwan
afcd3b79-d224-4224-a991-2afda1d9c0e7,Handan,Hebei,China
6760c93b-d7ab-4ba1-8717-b1c7e8695b26,Tai'an,Shandong,China
eab06c5b-b4c2-43a1-be90-f583433780fa,Esfahan,Eşfahān,Iran
8724d69e-380c-4f9f-b750-dac79ee043f6,Kansas City,Missouri,United States
a7ca90b0-8386-4cda-8269-095826ddbb15,Yaounde,Centre,Cameroon
bbbf262e-2fe7-4e79-b646-8b73efc190f8,Shantou,Guangdong,China
e9ae7c9f-6576-405a-8496-9c429cced1d9,Agra,Uttar Pradesh,India
4a5379d8-7d1f-4131-b030-efc30383037e,Zhanjiang,Guangdong,China
f5b9e9aa-4bb5-4a15-bfb1-f5f809536e72,La Paz,La Paz,Bolivia
be6cf0cd-2e7f-46dc-8442-af8c8352889f,Kalyan,Mahārāshtra,India
56887bb4-94ce-4138-b393-44d89ee5ea29,Abuja,Federal Capital Territory,Nigeria
1131856e-c388-44a8-ad2e-f5fd64681873,Harare,Harare,Zimbabwe
cdcf8d9e-56a7-443b-a8f4-a2a2a6ebba22,Indianapolis,Indiana,United States
de43e56b-2084-4bd1-937a-fc1f0d075ca8,Xiantao,Hubei,China
cf592b96-ef94-44c1-ac8a-a06b939d2836,Khulna,Khulna,Bangladesh
7f600b58-f42f-43db-b047-336840bf0d3d,Weifang,Shandong,China
7275fc0d-5469-4cf4-9962-7036d3de158f,Tijuana,Baja California,Mexico
32ca8419-4834-42dd-a464-945277628372,Santiago,Cibao Norte,Dominican Republic
